Budget;LongueurMin;ValeurMax;Moyenne
3138;142;1.21246;1.02384
3069;154;1.30899;1.03788
3069;154;1.30899;1.04108
3069;154;1.30899;1.03558
3069;154;1.30899;1.03084
3069;154;1.30899;1.02723
2840;154;1.31687;1.04607
2763;164;1.39847;1.05505
2763;164;1.39847;1.0597
2763;164;1.39847;1.11562
2763;164;1.39847;1.13385
3060;176;1.48231;1.1327
3060;176;1.48231;1.14137
3060;176;1.48231;1.14846
3060;176;1.48231;1.16727
3650;180;1.49792;1.21058
3650;180;1.49792;1.22425
3650;180;1.49792;1.20011
3650;180;1.49792;1.21161
3650;180;1.49792;1.20825
3650;180;1.49792;1.2064
3455;190;1.58121;1.19967
3455;190;1.58121;1.20403
3140;190;1.58992;1.24877
3140;190;1.58992;1.23572
3140;190;1.58992;1.21465
3140;190;1.58992;1.21332
3140;190;1.58992;1.22538
3029;192;1.60915;1.23474
3029;192;1.60915;1.26454
3029;192;1.60915;1.26809
3029;192;1.60915;1.24538
3029;192;1.60915;1.21954
3029;192;1.60915;1.21308
3029;192;1.60915;1.23171
3137;196;1.63721;1.24896
3137;196;1.63721;1.25452
3137;196;1.63721;1.28301
3328;198;1.64745;1.2769
3328;198;1.64745;1.25869
3328;198;1.64745;1.31817
3275;200;1.66464;1.31589
3275;200;1.66464;1.35116
3275;200;1.66464;1.33535
3275;200;1.66464;1.36913
3275;200;1.66464;1.42091
3216;202;1.68205;1.4155
3216;202;1.68205;1.4414
3216;202;1.68205;1.44742
3119;205;1.70854;1.46836
3119;205;1.70854;1.48003
3119;205;1.70854;1.49418
3119;205;1.70854;1.49756
3119;205;1.70854;1.5039
3119;205;1.70854;1.49525
3119;205;1.70854;1.50423
3119;205;1.70854;1.50994
3119;205;1.70854;1.5125
3039;205;1.71108;1.51855
3039;205;1.71108;1.52058
3039;205;1.71108;1.52443
3039;205;1.71108;1.52997
3077;206;1.71772;1.53425
2968;206;1.7213;1.56563
2968;206;1.7213;1.56319
2968;206;1.7213;1.58651
2968;206;1.7213;1.60832
2968;206;1.7213;1.63549
2968;206;1.7213;1.66462
2968;206;1.7213;1.64811
2968;206;1.7213;1.66674
2968;206;1.7213;1.67223
2968;206;1.7213;1.66428
2968;206;1.7213;1.66699
2968;206;1.7213;1.67455
2968;206;1.7213;1.6767
2942;206;1.7222;1.67306
2942;206;1.7222;1.65479
2942;206;1.7222;1.66325
2942;206;1.7222;1.66044
2942;206;1.7222;1.68221
2942;206;1.7222;1.71233
2942;206;1.7222;1.71493
2942;206;1.7222;1.71769
2942;206;1.7222;1.71865
2942;206;1.7222;1.7195
2942;206;1.7222;1.71948
2919;206;1.723;1.71994
2919;206;1.723;1.72065
2915;206;1.72314;1.72073
2915;206;1.72314;1.72105
2915;206;1.72314;1.7213
2915;206;1.72314;1.72114
2915;206;1.72314;1.72133
2915;206;1.72314;1.72138
2915;206;1.72314;1.72101
2915;206;1.72314;1.72103
2915;206;1.72314;1.72188
2915;206;1.72314;1.72167
2915;206;1.72314;1.7213
